iter	Passed	Remaining
599	30257	20171
600	30307	20120
601	30358	20070
602	30408	20019
603	30451	19964
604	30500	19913
605	30548	19861
606	30605	19815
607	30659	19767
608	30708	19716
609	30762	19667
610	30812	19617
611	30856	19562
612	30908	19512
613	30958	19462
614	31011	19413
615	31056	19360
616	31105	19308
617	31147	19253
618	31203	19206
619	31255	19156
620	31303	19104
621	31353	19054
622	31401	19002
623	31452	18951
624	31497	18898
625	31541	18844
626	31597	18797
627	31650	18748
628	31702	18699
629	31753	18649
630	31809	18601
631	31862	18553
632	31912	18502
633	31963	18451
634	32016	18403
635	32059	18348
636	32106	18296
637	32155	18244
638	32207	18195
639	32252	18141
640	32306	18093
641	32354	18042
642	32403	17990
643	32453	17939
644	32499	17887
645	32548	17836
646	32601	17787
647	32658	17740
648	32709	17690
649	32763	17641
650	32814	17591
651	32864	17541
652	32905	17485
653	32954	17434
654	33004	17384
655	33049	17330
656	33101	17281
657	33147	17228
658	33196	17177
659	33246	17127
660	33298	17077
661	33340	17022
662	33389	16971
663	33439	16921
664	33488	16870
665	33536	16818
666	33591	16770
667	33642	16720
668	33696	16671
669	33746	16621
670	33799	16572
671	33852	16523
672	33902	16472
673	33959	16425
674	34009	16374
675	34057	16323
676	34099	16269
677	34145	16216
678	34192	16164
679	34235	16110
680	34286	16060
681	34332	16008
682	34383	15958
683	34435	15908
684	34478	15855
685	34529	15805
686	34579	15754
687	34626	15702
688	34668	15648
689	34717	15597
690	34767	15547
691	34821	15498
692	34865	15445
693	34915	15394
694	34958	15341
695	35006	15290
696	35060	15241
697	35109	15190
698	35163	15141
699	35218	15093
700	35270	15044
701	35310	14989
702	35364	14940
703	35408	14887
704	35464	14839
705	35515	14789
706	35553	14734
707	35603	14683
708	35650	14632
709	35700	14581
710	35739	14526
711	35791	14477
712	35833	14423
713	35878	14371
714	35928	14321
715	35979	14271
716	36024	14218
717	36079	14170
718	36124	14118
719	36167	14065
720	36218	14015
721	36268	13964
722	36314	13912
723	36362	13861
724	36415	13812
725	36467	13763
726	36518	13713
727	36570	13663
728	36619	13613
729	36671	13563
730	36715	13510
731	36767	13461
732	36814	13410
733	36861	13358
734	36905	13305
735	36953	13254
736	37001	13203
737	37051	13153
738	37106	13105
739	37156	13055
740	37207	13005
741	37249	12952
742	37302	12902
743	37346	12850
744	37393	12798
745	37448	12750
746	37497	12700
747	37547	12649
748	37601	12600
749	37652	12550
750	37696	12498
751	37748	12448
752	37794	12397
753	37848	12348
754	37890	12295
755	37936	12244
756	37987	12194
757	38033	12142
758	38080	12091
759	38136	12043
760	38189	11993
761	38238	11943
762	38287	11892
763	38335	11841
764	38386	11791
765	38434	11741
766	38476	11688
767	38525	11637
768	38566	11584
769	38613	11534
770	38655	11481
771	38705	11431
772	38755	11380
773	38798	11328
774	38843	11277
775	38894	11227
776	38940	11176
777	38989	11125
778	39036	11074
779	39087	11024
780	39133	10973
781	39175	10921
782	39220	10869
783	39265	10817
784	39318	10768
785	39370	10719
786	39422	10669
787	39471	10619
788	39520	10568
789	39563	10516
790	39608	10465
791	39657	10415
792	39697	10362
793	39747	10312
794	39791	10260
795	39841	10210
796	39896	10161
797	39944	10111
798	40004	10063
799	40052	10013
800	40097	9961
801	40146	9911
802	40199	9862
803	40247	9811
804	40300	9762
805	40347	9711
806	40390	9659
807	40438	9609
808	40491	9559
809	40540	9509
810	40579	9456
811	40633	9407
812	40670	9354
813	40721	9304
814	40763	9253
815	40815	9203
816	40865	9153
817	40917	9104
818	40970	9054
819	41022	9004
820	41071	8954
821	41122	8904
822	41167	8853
823	41208	8801
824	41258	8751
825	41313	8702
826	41362	8652
827	41412	8602
828	41462	8552
829	41514	8502
830	41557	8451
831	41610	8402
832	41664	8352
833	41719	8303
834	41770	8254
835	41814	8202
836	41861	8152
837	41906	8101
838	41952	8050
839	42004	8000
840	42052	7950
841	42092	7898
842	42137	7847
843	42194	7798
844	42244	7748
845	42294	7699
846	42342	7648
847	42387	7597
848	42434	7547
849	42479	7496
850	42533	7447
851	42579	7396
852	42628	7346
853	42681	7296
854	42725	7245
855	42765	7194
856	42810	7143
857	42859	7093
858	42912	7043
859	42961	6993
860	43009	6943
861	43056	6892
862	43108	6843
863	43156	6793
864	43203	6742
865	43250	6692
866	43293	6641
867	43329	6589
868	43383	6540
869	43425	6488
870	43472	6438
871	43522	6388
872	43571	6338
873	43624	6289
874	43678	6239
875	43729	6190
876	43769	6138
877	43814	6088
878	43862	6037
879	43915	5988
880	43960	5937
881	44006	5887
882	44056	5837
883	44105	5787
884	44155	5737
885	44203	5687
886	44248	5637
887	44298	5587
888	44352	5537
889	44400	5487
890	44450	5437
891	44499	5387
892	44541	5337
893	44583	5286
894	44628	5235
895	44678	5185
896	44732	5136
897	44785	5086
898	44834	5036
899	44884	4987
900	44930	4936
901	44982	4887
902	45021	4836
903	45067	4785
904	45114	4735
905	45157	4685
906	45201	4634
907	45243	4584
908	45286	4533
909	45337	4483
910	45390	4434
911	45438	4384
912	45493	4335
913	45544	4285
914	45590	4235
915	45638	4185
916	45681	4134
917	45735	4085
918	45791	4036
919	45836	3985
920	45889	3936
921	45937	3886
922	45987	3836
923	46032	3786
924	46078	3736
925	46127	3686
926	46171	3635
927	46227	3586
928	46272	3536
929	46322	3486
930	46364	3436
931	46416	3386
932	46467	3336
933	46514	3286
934	46561	3236
935	46607	3186
936	46656	3137
937	46712	3087
938	46756	3037
939	46798	2987
940	46846	2937
941	46897	2887
942	46950	2837
943	47005	2788
944	47057	2738
945	47100	2688
946	47149	2638
947	47204	2589
948	47254	2539
949	47298	2489
950	47354	2439
951	47404	2390
952	47454	2340
953	47503	2290
954	47551	2240
955	47599	2190
956	47648	2140
957	47702	2091
958	47753	2041
959	47804	1991
960	47856	1942
961	47900	1892
962	47945	1842
963	47988	1792
964	48032	1742
965	48082	1692
966	48129	1642
967	48182	1592
968	48235	1543
969	48278	1493
970	48329	1443
971	48376	1393
972	48422	1343
973	48473	1293
974	48525	1244
975	48572	1194
976	48620	1144
977	48667	1094
978	48717	1045
979	48766	995
980	48808	945
981	48860	895
982	48903	845
983	48955	796
984	49005	746
985	49055	696
986	49099	646
987	49149	596
988	49197	547
989	49243	497
990	49292	447
991	49340	397
992	49393	348
993	49446	298
994	49496	248
995	49534	198
996	49574	149
997	49618	99
998	49663	49
999	49712	0
